pyClassName,pyPropertyName,pyPropertyMode,pyPageClass,pyStringType,pyTextValue(1),pxUpdateDateTime,pxUpdateOpName,pzInsKey
NFCU-Data-ACCT-Account-Len,UnpaidFeeBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-01,2020-12-28 21:49:53.183,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN UNPAIDFEEBALANCE #20201228T214953.184 GMT
NFCU-Data-ACCT-Account-Len,TermIncrement,String,NULL,Integer,NFCU-Data-Account:01-01-21,2023-04-20 21:01:32.777,Heenakausar Halli,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN TERMINCREMENT #20230420T210132.778 GMT
NFCU-Data-ACCT-Account-Len,ExpirationDate,String,NULL,Date,NFCU-Data-Account:01-01-10,2022-12-20 17:19:37.950,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN EXPIRATIONDATE #20221220T171937.949 GMT
NFCU-Data-ACCT-Account-Len,DayOfMonthBillingCycle,String,NULL,Integer,NFCU-Data-Account:01-01-10,2022-12-20 17:19:37.570,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DAYOFMONTHBILLINGCYCLE #20221220T171937.570 GMT
NFCU-Data-ACCT-Account-Len,PastLateFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,2021-02-09 22:35:31.983,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTLATEFEE #20210209T223531.983 GMT
NFCU-Data-ACCT-Account-Len,BillingSchedulePage,Page,NFCU-Data-EVNT-FIN-TXN-Type-Len,Text,NFCU-Data-Account:01-01-14,2023-02-07 17:58:04.317,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN BILLINGSCHEDULEPAGE #20230207T175804.317 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateInterestIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,2020-12-28 21:49:37.613,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEINTERESTINCOME #20201228T214937.612 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,2020-12-28 21:49:37.887,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEORIGINATIONFEE #20201228T214937.885 GMT
NFCU-Data-ACCT-Account-Len,FirstPaymentDate,String,NULL,Date,NFCU-Data-Account:01-01-03,2021-11-22 22:30:41.600,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN FIRSTPAYMENTDATE #20211122T223041.599 GMT
NFCU-Data-ACCT-Account-Len,LoanOriginationCreditTierCode,String,NULL,Text,NFCU-Data-Account:01-01-01,2020-12-28 21:49:25.447,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANORIGINATIONCREDITTIERCODE #20201228T214925.447 GMT
NFCU-Data-ACCT-Account-Len,ProcessingOffice,String,NULL,Text,NFCU-Data-Account:01-01-01,2020-12-28 21:49:38.770,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PROCESSINGOFFICE #20201228T214938.769 GMT
NFCU-Data-ACCT-Account-Len,CurrentBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-01,2020-12-28 21:49:06.467,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTBALANCE #20201228T214906.468 GMT
NFCU-Data-ACCT-Account-Len,ProductLineCode,String,NULL,Text,NFCU-Data-Account:01-01-03,2021-11-22 22:30:49.190,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PRODUCTLINECODE #20211122T223049.191 GMT
