pyClassName,pyPropertyName,pyPropertyMode,pyPageClass,pyStringType,pyTextValue(1),pxUpdateDateTime,pxUpdateOpName,pzInsKey
NFCU-Data-ACCT-Account-Len,UnpaidFeeBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:53.2,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN UNPAIDFEEBALANCE #20201228T214953.184 GMT
NFCU-Data-ACCT-Account-Len,TermIncrement,String,NULL,Integer,NFCU-Data-Account:01-01-21,01:32.8,Heenakausar Halli,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN TERMINCREMENT #20230420T210132.778 GMT
NFCU-Data-ACCT-Account-Len,ExpirationDate,String,NULL,Date,NFCU-Data-Account:01-01-10,19:37.9,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN EXPIRATIONDATE #20221220T171937.949 GMT
NFCU-Data-ACCT-Account-Len,DayOfMonthBillingCycle,String,NULL,Integer,NFCU-Data-Account:01-01-10,19:37.6,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DAYOFMONTHBILLINGCYCLE #20221220T171937.570 GMT
NFCU-Data-ACCT-Account-Len,PastLateFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:32.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTLATEFEE #20210209T223531.983 GMT
NFCU-Data-ACCT-Account-Len,BillingSchedulePage,Page,NFCU-Data-EVNT-FIN-TXN-Type-Len,Text,NFCU-Data-Account:01-01-14,58:04.3,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN BILLINGSCHEDULEPAGE #20230207T175804.317 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateInterestIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:37.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEINTERESTINCOME #20201228T214937.612 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:37.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEORIGINATIONFEE #20201228T214937.885 GMT
NFCU-Data-ACCT-Account-Len,FirstPaymentDate,String,NULL,Date,NFCU-Data-Account:01-01-03,30:41.6,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN FIRSTPAYMENTDATE #20211122T223041.599 GMT
NFCU-Data-ACCT-Account-Len,LoanOriginationCreditTierCode,String,NULL,Text,NFCU-Data-Account:01-01-01,49:25.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANORIGINATIONCREDITTIERCODE #20201228T214925.447 GMT
NFCU-Data-ACCT-Account-Len,ProcessingOffice,String,NULL,Text,NFCU-Data-Account:01-01-01,49:38.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PROCESSINGOFFICE #20201228T214938.769 GMT
NFCU-Data-ACCT-Account-Len,CurrentBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:06.5,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTBALANCE #20201228T214906.468 GMT
NFCU-Data-ACCT-Account-Len,ProductLineCode,String,NULL,Text,NFCU-Data-Account:01-01-03,30:49.2,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PRODUCTLINECODE #20211122T223049.191 GMT
NFCU-Data-ACCT-Account-Len,TermLastModifiedDate,String,NULL,Text,NFCU-Data-Account:01-01-22,20:56.4,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN TERMLASTMODIFIEDDATE #20230424T212056.430 GMT
NFCU-Data-ACCT-Account-Len,CreditTierCode,String,NULL,Text,NFCU-Data-Account:01-01-01,49:05.5,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CREDITTIERCODE #20201228T214905.475 GMT
NFCU-Data-ACCT-Account-Len,CollectionsEventIndicator,String,NULL,Text,NFCU-Data-Account:01-01-01,49:02.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN COLLECTIONSEVENTINDICATOR #20201228T214902.815 GMT
NFCU-Data-ACCT-Account-Len,PastBalanceDueAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:31.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTBALANCEDUEAMOUNT #20210209T223531.787 GMT
NFCU-Data-ACCT-Account-Len,OriginalInterestRate,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:47.3,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ORIGINALINTERESTRATE #20211122T223047.329 GMT
NFCU-Data-ACCT-Account-Len,NextPaymentNumber,String,NULL,Integer,NFCU-Data-Account:01-01-03,30:47.1,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN NEXTPAYMENTNUMBER #20211122T223047.108 GMT
NFCU-Data-ACCT-Account-Len,DisbursementDate,String,NULL,Date,NFCU-Data-Account:01-01-01,35:31.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DISBURSEMENTDATE #20210209T223530.960 GMT
NFCU-Data-ACCT-Account-Len,PastDueDate,String,NULL,Date,NFCU-Data-Account:01-01-11,19:48.0,Jeffrey W Hawthorne,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTDUEDATE #20221223T191948.021 GMT
NFCU-Data-ACCT-Account-Len,PastDueDays,String,NULL,Text,NFCU-Data-Account:01-01-12,11:35.6,Heenakausar Halli,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTDUEDAYS #20230112T191135.612 GMT
NFCU-Data-ACCT-Account-Len,CurrentRiskGrade,String,NULL,Text,NFCU-Data-Account:01-01-03,30:41.0,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTRISKGRADE #20211122T223040.967 GMT
NFCU-Data-ACCT-Account-Len,CashAdvAvailableAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-11,35:36.4,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CASHADVAVAILABLEAMOUNT #20221220T213536.400 GMT
NFCU-Data-ACCT-Account-Len,FrequencyCode,String,NULL,Text,NFCU-Data-Account:01-01-03,30:42.5,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN FREQUENCYCODE #20211122T223042.486 GMT
NFCU-Data-ACCT-Account-Len,CurrentLateFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:30.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTLATEFEE #20210209T223530.021 GMT
NFCU-Data-ACCT-Account-Len,MonthToDateFeeIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:29.2,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MONTHTODATEFEEINCOME #20201228T214929.154 GMT
NFCU-Data-ACCT-Account-Len,LoanTerminationType,String,NULL,Text,NFCU-Data-Account:01-01-01,49:26.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANTERMINATIONTYPE #20201228T214926.646 GMT
NFCU-Data-ACCT-Account-Len,ChargeOff,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:01.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CHARGEOFF #20201228T214901.880 GMT
NFCU-Data-ACCT-Account-Len,DraftAccountNumber,String,NULL,Text,NFCU-Data-Account:01-01-01,49:11.2,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DRAFTACCOUNTNUMBER #20201228T214911.193 GMT
NFCU-Data-ACCT-Account-Len,CreditTierGroupName,String,NULL,Text,NFCU-Data-Account:01-01-01,49:05.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CREDITTIERGROUPNAME #20201228T214905.762 GMT
NFCU-Data-ACCT-Account-Len,CurrentPrincipalBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:40.7,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTPRINCIPALBALANCE #20211122T223040.727 GMT
NFCU-Data-ACCT-Account-Len,DelinquentBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:09.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DELINQUENTBALANCE #20201228T214909.753 GMT
NFCU-Data-ACCT-Account-Len,CurrentPaymentPrincipalDueAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:39.7,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTPAYMENTPRINCIPALDUEAMOUNT #20211122T223039.688 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateFeeIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:37.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEFEEINCOME #20201228T214937.021 GMT
NFCU-Data-ACCT-Account-Len,LoanOfficerNumber,String,NULL,Text,NFCU-Data-Account:01-01-01,49:25.2,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANOFFICERNUMBER #20201228T214925.156 GMT
NFCU-Data-ACCT-Account-Len,LienHolderID,String,NULL,Text,NFCU-Data-Account:01-01-10,18:05.1,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LIENHOLDERID #20221125T171805.094 GMT
NFCU-Data-ACCT-Account-Len,RepoVendor,String,NULL,Text,NFCU-Data-Account:01-01-10,18:05.5,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REPOVENDOR #20221125T171805.488 GMT
NFCU-Data-ACCT-Account-Len,PaymentsPerYear,String,NULL,Integer,NFCU-Data-Account:01-01-03,30:48.3,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PAYMENTSPERYEAR #20211122T223048.334 GMT
NFCU-Data-ACCT-Account-Len,CalculatedAnnualInterestRate,String,NULL,Decimal,NFCU-Data-Account:01-01-14,39:43.3,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CALCULATEDANNUALINTERESTRATE #20230206T213943.324 GMT
NFCU-Data-ACCT-Account-Len,YearToDatePaytProtectPlanIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:57.3,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN YEARTODATEPAYTPROTECTPLANINCOME #20201228T214957.267 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateInterest,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:37.3,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEINTEREST #20201228T214937.339 GMT
NFCU-Data-ACCT-Account-Len,DraftAccountRoutingNumber,String,NULL,Text,NFCU-Data-Account:01-01-01,49:11.5,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DRAFTACCOUNTROUTINGNUMBER #20201228T214911.459 GMT
NFCU-Data-ACCT-Account-Len,PromissoryNoteCompletionDate,String,NULL,Date,NFCU-Data-Account:01-01-01,49:39.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PROMISSORYNOTECOMPLETIONDATE #20201228T214939.640 GMT
NFCU-Data-ACCT-Account-Len,LifetimeOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:23.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LIFETIMEORIGINATIONFEE #20201228T214923.404 GMT
NFCU-Data-ACCT-Account-Len,RemainingPaymentCount,String,NULL,Integer,NFCU-Data-Account:01-01-11,19:48.4,Jeffrey W Hawthorne,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REMAININGPAYMENTCOUNT #20221223T191948.352 GMT
NFCU-Data-ACCT-Account-Len,OriginalLoanTerm,String,NULL,Integer,NFCU-Data-Account:01-01-11,19:47.6,Jeffrey W Hawthorne,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ORIGINALLOANTERM #20221223T191947.630 GMT
NFCU-Data-ACCT-Account-Len,DelinquentSince,String,NULL,Text,NFCU-Data-Account:01-01-10,18:04.0,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DELINQUENTSINCE #20221125T171803.964 GMT
NFCU-Data-ACCT-Account-Len,LastBillingDate,String,NULL,Date,NFCU-Data-Account:01-01-10,19:39.8,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LASTBILLINGDATE #20221220T171939.809 GMT
NFCU-Data-ACCT-Account-Len,NetPaymentAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-21,01:32.1,Heenakausar Halli,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN NETPAYMENTAMOUNT #20230420T210132.066 GMT
NFCU-Data-ACCT-Account-Len,InterestCalculationFactor,String,NULL,Text,NFCU-Data-Account:01-01-03,30:42.9,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN INTERESTCALCULATIONFACTOR #20211122T223042.874 GMT
NFCU-Data-ACCT-Account-Len,CollateralTypeDesc,String,NULL,Text,NFCU-Data-Account:01-01-24,21:15.7,Savitha Dwaram,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN COLLATERALTYPEDESC #20230530T212115.685 GMT
NFCU-Data-ACCT-Account-Len,CurrentInterestRate,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:29.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTINTERESTRATE #20210209T223529.821 GMT
NFCU-Data-ACCT-Account-Len,HasMultipleCards,String,NULL,TrueFalse,NFCU-Data-Account:01-01-10,19:38.5,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN HASMULTIPLECARDS #20221220T171938.503 GMT
NFCU-Data-ACCT-Account-Len,RepayOption,String,NULL,Text,NFCU-Data-Account:01-01-01,35:33.3,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REPAYOPTION #20210209T223533.316 GMT
NFCU-Data-ACCT-Account-Len,LoanSuspenseBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:44.3,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANSUSPENSEBALANCE #20211122T223044.263 GMT
NFCU-Data-ACCT-Account-Len,LastPaymentDate,String,NULL,Date,NFCU-Data-Account:01-01-03,30:43.4,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LASTPAYMENTDATE #20211122T223043.363 GMT
NFCU-Data-ACCT-Account-Len,RepayDate,String,NULL,Date,NFCU-Data-Account:01-01-01,35:33.1,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REPAYDATE #20210209T223533.148 GMT
NFCU-Data-ACCT-Account-Len,PaymentStatus,String,NULL,Text,NFCU-Data-Account:01-01-01,35:32.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PAYMENTSTATUS #20210209T223532.765 GMT
NFCU-Data-ACCT-Account-Len,PastOtherFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:32.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTOTHERFEE #20210209T223532.370 GMT
NFCU-Data-ACCT-Account-Len,IsNeverExpire,String,NULL,TrueFalse,NFCU-Data-Account:01-01-10,19:39.5,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ISNEVEREXPIRE #20221220T171939.468 GMT
NFCU-Data-ACCT-Account-Len,AvailableLimitsPage,Page,NFCU-Data-ACCT-Limit,Text,NFCU-Data-Account:01-01-10,19:36.5,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN AVAILABLELIMITSPAGE #20221220T171936.491 GMT
NFCU-Data-ACCT-Account-Len,CurrentNsfFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:30.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTNSFFEE #20210209T223530.397 GMT
NFCU-Data-ACCT-Account-Len,YearToDateInterestAssessed,String,NULL,Decimal,NFCU-Data-Account:01-01-03,30:50.3,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN YEARTODATEINTERESTASSESSED #20211122T223050.314 GMT
NFCU-Data-ACCT-Account-Len,CreditAvailableEffectiveDate,String,NULL,Date,NFCU-Data-Account:01-01-11,10:18.9,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CREDITAVAILABLEEFFECTIVEDATE #20221222T181018.924 GMT
NFCU-Data-ACCT-Account-Len,QuarterToDatePayProtectPlanIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:41.7,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN QUARTERTODATEPAYPROTECTPLANINCOME #20201228T214941.664 GMT
NFCU-Data-ACCT-Account-Len,NumOfStmtLTD,String,NULL,Integer,NFCU-Data-Account:01-01-10,19:40.1,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN NUMOFSTMTLTD #20221220T171940.103 GMT
NFCU-Data-ACCT-Account-Len,RevisedPromissoryNoteAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:45.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REVISEDPROMISSORYNOTEAMOUNT #20201228T214945.759 GMT
NFCU-Data-ACCT-Account-Len,PastNsfFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:32.2,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTNSFFEE #20210209T223532.161 GMT
NFCU-Data-ACCT-Account-Len,IsAutoPayEnabled,String,NULL,TrueFalse,NFCU-Data-Account:01-01-10,19:38.8,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN ISAUTOPAYENABLED #20221220T171938.822 GMT
NFCU-Data-ACCT-Account-Len,PromissoryNoteAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:39.3,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PROMISSORYNOTEAMOUNT #20201228T214939.346 GMT
NFCU-Data-ACCT-Account-Len,LoanOriginationFeeAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:26.1,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANORIGINATIONFEEAMOUNT #20201228T214926.077 GMT
NFCU-Data-ACCT-Account-Len,ModLoanRepayTermMonthCount,String,NULL,Integer,NFCU-Data-Account:01-01-01,49:28.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MODLOANREPAYTERMMONTHCOUNT #20201228T214928.883 GMT
NFCU-Data-ACCT-Account-Len,FirstPaymentDueDate,String,NULL,Date,NFCU-Data-Account:01-01-03,30:41.8,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN FIRSTPAYMENTDUEDATE #20211122T223041.848 GMT
NFCU-Data-ACCT-Account-Len,CurrentLoanTerm,String,NULL,Integer,NFCU-Data-Account:01-01-11,19:46.9,Jeffrey W Hawthorne,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTLOANTERM #20221223T191946.869 GMT
NFCU-Data-ACCT-Account-Len,QuarterToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:41.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN QUARTERTODATEORIGINATIONFEE #20201228T214941.352 GMT
NFCU-Data-ACCT-Account-Len,CalculatedMaturityDate,String,NULL,Date,NFCU-Data-Account:01-01-14,39:43.8,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CALCULATEDMATURITYDATE #20230206T213943.824 GMT
NFCU-Data-ACCT-Account-Len,QuarterToDateInterestIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:41.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN QUARTERTODATEINTERESTINCOME #20201228T214941.051 GMT
NFCU-Data-ACCT-Account-Len,MonthToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:29.7,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MONTHTODATEORIGINATIONFEE #20201228T214929.721 GMT
NFCU-Data-ACCT-Account-Len,RemainingTerm,String,NULL,Integer,NFCU-Data-Account:01-01-03,30:49.5,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REMAININGTERM #20211122T223049.510 GMT
